Dose;Morts;Total;Prop;ax + b;Phi
1,5;;;;-5,3461;4,50323E-08
1,55;;;;-4,3591;6,53497E-06
1,6;;;;-3,3721;0,00037304
1,65;;;;-2,3851;0,008537229
1,691;6;59;0,1017;-1,57576;0,057540567
1,724;13;60;0,2167;-0,92434;0,177654637
1,755;18;62;0,2903;-0,3124;0,37736834
1,784;28;56;0,5000;0,26006;0,602591198
1,811;52;63;0,8254;0,79304;0,786122807
1,837;53;59;0,8983;1,30628;0,904271257
1,861;61;62;0,9839;1,78004;0,962465342
1,884;60;60;1,0000;2,23406;0,98726048
1,9;;;;2,5499;0,994612284
1,95;;;;3,5369;0,999797532
2;;;;4,5239;0,999996962
