;98/99;;;;01-févr;;;;;02-mars;;;;;
Enseignement;C;TD;Total;Eq TD;C;M;TD;Total;Eq TD;C;M;TD;Total;Eq TD;\\
Mesure et exp‚rimentation;1.5;15;16.5;17.3;;;;0;0;;;;0;0;\\
Tronc commun 2Šme ann‚e;;;0;0;;48;9;57;69;;28.5;13.5;42;49.1;\\
UV Mod‚lisation des populations;6;3;9;12;;;3;3;3;;;3;3;3;\\
UV Aide … la d‚cision;3;3;6;7.5;;;;0;0;;;;0;0;\\
UV Biopuces;;;0;0;9;;3;12;16.5;6;;3;9;12;\\
UV Mod‚lisation en biologie;;;0;0;;;;0;0;3;;3;6;7.5;\\
DEA G‚n‚tique multifactorielle;;;0;0;6;3;3;12;15.8;6;3;3;12;15.8;\\
DEA Ecologie g‚n‚rale;7.5;16.5;24;27.8;18;;13;31;40;18;;15;33;42;\\
DEA BDAPC;25.5;7.5;33;45.8;;;;0;0;;;;0;0;\\
DEA ETES;3;3;6;7.5;;;;0;0;;;;0;0;\\
DAA Ing‚nierie prod. V‚g‚tale;12;3;15;21;;;;0;0;;;;0;0;\\
DAA Sciences animales;16.5;10.5;27;35.3;30;;9;39;54;30;;;30;45;\\
DAA Informatique;;;0;0;;;;0;0;6;;;6;9;\\
DEA Statistique;;;0;0;;;;0;0;2;;;2;3;\\
Module Bioinformatique ABIES;;;0;0;9;;;9;13.5;9;;;9;13.5;\\
Total;75;61.5;136.5;174;72;51;40;163;211.8;80;31.5;40.5;152;199.9;\\

CSAGAD;;;0;0;20;;10;30;40;;;;0;0;\\
IMPG;;;0;0;12;;;12;18;12;;;12;18;\\
DESS IGF;;;0;0;6;;;6;9;6;;;6;9;\\
DESS EGOISt;;;0;0;;;;0;0;5;;;5;7.5;\\
DESS IAB;;;0;0;3;;;3;4.5;3;;;3;4.5;\\
Total;0;0;0;0;41;0;10;51;71.5;26;0;0;26;39;\\
