Année;Niveau;Diplôme;Intitulé;Type de formation;Nature;Effectifs;Volume horaire annuel
2021-22;L1;Math-info;Sciences des données;initiale;CM;150;22
2021-22;L1;Math-info;Sciences des données;initiale;TD;30;38,5
2021-22;L1;Math-info;Sciences des données;initiale;création;1;20
2021-22;L3;ENS bio;Mathématiques pour biologistes;initiale;CM;25;30
2021-22;L3;Biologie;Statistique et mathématiques pour la biologie;initiale;TD;2 * 30;12
2021-22;M2;Statistique / Algorithme & Apprentissage / ISUP;Modèles pour l’écologie;initiale;CM;20;30
;;;;;;;
2022-23;L1;Math-info;Sciences des données;initiale;CM;150;22
2022-23;L1;Math-info;Sciences des données;initiale;TD;30;38,5
2022-23;L1;Math-info;Sciences des données;initiale;gestion;1;6
2022-23;L3;ENS bio;Mathématiques pour biologistes;initiale;CM;25;30
2022-23;M2;Statistique / Algorithme & Apprentissage / ISUP;Modèles pour l’écologie;initiale;CM;15;30
2022-23;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;CM;10;12
2022-23;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;TD;10;12
;;;;;;;
2023-24;L1;Math-info;Sciences des données;initiale;CM;150;22
2023-24;L1;Math-info;Sciences des données;initiale;TD;30;38,5
2023-24;L3;ENS bio;Mathématiques pour biologistes;initiale;CM;25;30
2023-24;M1;Math;Mémoire de TER;initiale;mémoire;3;15
2023-24;M2;Statistique / Algorithme & Apprentissage / ISUP;Modèles pour l’écologie;initiale;CM;;
2023-24;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;CM;15;15
2023-24;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;TD;15;6
;;;;;;;
2024-25;L1;Math-info;Sciences des données;initiale;CM;150;22
2024-25;L1;Math-info;Sciences des données;initiale;TD;30;38,5
2024-25;L1;Math-info;Sciences des données;initiale;gestion;1;6
2024-25;L3;ENS bio;Mathématiques pour biologistes;initiale;CM;25;30
2024-25;L3;Biologie;Statistique et mathématiques pour la biologie;initiale;TD;30;6
2024-25;M2;Statistique / Algorithme & Apprentissage / ISUP;Modèles pour l’écologie;initiale;CM;30;30
2024-25;M2;Statistique / Algorithme & Apprentissage / ISUP;Mémoire de stage;initiale;mémoire;2;2
2024-25;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;CM;10;15
2024-25;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;TD;10;6
;;;;;;;
2025-26;L1;Math-info;Sciences des données;initiale;CM;150;22
2025-26;L1;Math-info;Sciences des données;initiale;TD;30;38,5
2025-26;L1;Math-info;Sciences des données;initiale;gestion;1;6
2025-26;L3;ENS bio;Mathématiques pour biologistes;initiale;CM;25;30
2025-26;L3;Biologie;Statistique et mathématiques pour la biologie;initiale;TD;30;6
2025-26;M2;Statistique / Algorithme & Apprentissage / ISUP;Modèles pour l’écologie;initiale;CM;30;30
2025-26;M2;Statistique / Algorithme & Apprentissage / ISUP;Mémoire de stage;initiale;mémoire;?;?
2025-26;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;CM;10;15
2025-26;M2;EvoGEM;Inférence bayésienne / Modèles aléatoires;initiale;TD;10;6
